Date,Market,Commodity,Unit,Min,Max,Mode,Average,Volumes
20120301,OVWFM,Carite,Kg,66.14,77.16,71.65,,68.04
20120301,OVWFM,Salmon,Kg,37.48,37.48,37.48,,54.43
20120301,OVWFM,Shark,Kg,19.84,19.84,19.84,,63.5
20120301,OVWFM,Shrimp (S),Kg,15.43,17.64,16.54,,22.68
20120301,OVWFM,Shrimp (M),Kg,24.25,35.27,29.76,,467.21
20120301,OVWFM,Shrimp (L),Kg,48.5,110.23,51.81,,312.99
20120301,OVWFM,Blanche,Kg,4.41,4.41,4.41,,362.88
20120301,OVWFM,Crocro,Kg,13.23,17.64,15.43,,371.94
20120301,OVWFM,Mixed Fish,Kg,3.31,5.51,4.41,,580.61
20120301,OVWFM,Sardine,Kg,4.41,4.41,4.41,,54.43
20120302,OVWFM,Carite,Kg,66.14,66.14,66.14,,34.02
20120302,OVWFM,Salmon,Kg,39.68,39.68,39.68,,444.52
20120302,OVWFM,Shrimp (S),Kg,17.64,22.05,17.64,,36.29
20120302,OVWFM,Shrimp (M),Kg,28.66,33.07,33.07,,925.34
20120302,OVWFM,Shrimp (L),Kg,39.68,39.68,39.68,,258.56
20120302,OVWFM,Crocro,Kg,11.02,11.02,11.02,,453.6
20120302,OVWFM,Mixed Fish,Kg,4.41,5.51,4.41,,1251.93
20120302,OVWFM,Lobster,Kg,99.21,99.21,99.21,,68.04
20120305,OVWFM,Carite,Kg,66.14,66.14,66.14,,113.4
20120305,OVWFM,Shrimp (S),Kg,15.43,24.25,22.05,,508.03
20120305,OVWFM,Shrimp (M),Kg,28.66,48.5,35.27,,743.91
20120305,OVWFM,Shrimp (L),Kg,44.09,48.5,46.3,,185.98
20120305,OVWFM,Moonshine,Kg,22.05,22.05,22.05,,136.08
20120305,OVWFM,Crocro,Kg,11.02,13.23,12.13,,190.51
20120305,OVWFM,Mixed Fish,Kg,4.41,4.41,4.41,,435.45
20120306,OVWFM,Carite,Kg,66.14,66.14,66.14,,90.72
20120306,OVWFM,Shrimp (S),Kg,15.43,17.64,16.54,,54.43
20120306,OVWFM,Shrimp (M),Kg,26.46,33.07,29.77,,195.05
20120306,OVWFM,Shrimp (L),Kg,44.09,103.62,44.09,,421.87
20120306,OVWFM,Herring,Kg,4.41,4.41,4.41,,136.08
20120306,OVWFM,Brochet,Kg,13.23,13.23,13.23,,136.08
20120306,OVWFM,Blanche,Kg,4.41,4.41,4.41,,217.73
20120306,OVWFM,Crocro,Kg,11.05,15.43,11.02,,680.39
20120306,OVWFM,Mixed Fish,Kg,4.41,5.51,4.41,,517.1
20120307,OVWFM,Carite,Kg,70.55,70.55,70.55,70.55,45.36
20120307,OVWFM,Shrimp (M),Kg,26.46,26.46,26.46,26.46,54.43
20120307,OVWFM,Shrimp (L),Kg,44.09,66.14,50.71,52.25,294.86
20120307,OVWFM,Herring,Kg,4.41,4.41,4.41,4.41,136.08
20120307,OVWFM,Blanche,Kg,4.41,4.41,4.41,4.41,290.3
20120307,OVWFM,Crocro,Kg,11.02,15.43,13.23,13.23,371.08
20120307,OVWFM,Catfish,Kg,8.82,8.82,8.82,8.82,54.43
20120307,OVWFM,Mixed Fish,Kg,3.31,3.31,3.31,3.31,18.14
20120307,OVWFM,Red Fish,Kg,44.09,48.5,46.3,46.3,79.38
20120307,OVWFM,Paliment,Kg,13.23,13.23,13.23,13.23,136.08
20120308,OVWFM,Cavali,Kg,33.07,33.07,33.07,33.07,136.08
20120308,OVWFM,Salmon,Kg,39.68,39.68,39.68,39.68,54.43
20120308,OVWFM,Shrimp (S),Kg,22.05,22.05,22.05,22.05,27.22
20120308,OVWFM,Shrimp (M),Kg,24.25,37.48,31.6,31.6,340.2
20120308,OVWFM,Shrimp (L),Kg,46.3,99.21,50.71,60.08,403.7
20120308,OVWFM,Moonshine,Kg,13.23,13.23,13.23,13.23,63.5
20120308,OVWFM,Crocro,Kg,11.02,15.43,11.02,12.68,399.17
20120308,OVWFM,Catfish,Kg,5.51,6.61,6.06,6.06,117.93
20120308,OVWFM,Mixed Fish,Kg,4.41,4.41,4.41,4.41,226.8
20120309,OVWFM,Cavali,Kg,33.07,33.07,33.07,33.07,113.4
20120309,OVWFM,Salmon,Kg,39.68,39.68,39.68,39.68,154.22
20120309,OVWFM,Shrimp (S),Kg,17.64,19.84,18.74,18.74,40.83
20120309,OVWFM,Shrimp (M),Kg,22.05,35.27,29.77,29.49,916.28
20120309,OVWFM,Shrimp (L),Kg,46.3,57.32,55.12,53.74,285.77
20120309,OVWFM,Blanche,Kg,4.41,4.41,4.41,4.41,408.24
20120309,OVWFM,Crocro,Kg,11.02,13.23,11.02,11.9,752.98
20120309,OVWFM,Mixed Fish,Kg,4.41,5.51,4.96,4.96,1578.52
20120312,OVWFM,Cavali,Kg,33.07,33.07,33.07,33.07,113.4
20120312,OVWFM,Shrimp (M),Kg,33.07,33.07,33.07,33.07,54.43
20120312,OVWFM,Shrimp (L),Kg,44.09,59.52,52.92,52.55,190.53
20120312,OVWFM,Crocro,Kg,15.43,15.43,15.43,15.43,54.43
20120312,OVWFM,Mixed Fish,Kg,4.41,4.41,4.41,4.41,108.63
20120313,OVWFM,Carite,Kg,55.12,55.12,55.12,55.12,34.02
20120313,OVWFM,Salmon,Kg,44.09,44.09,44.09,44.09,136.08
20120313,OVWFM,Shrimp (M),Kg,35.27,35.27,35.27,35.27,362.88
20120313,OVWFM,Shrimp (L),Kg,50.71,99.21,55.12,62.01,317.54
20120313,OVWFM,King Fish,Kg,55.12,55.12,55.12,55.12,192.78
20120313,OVWFM,Brochet,Kg,33.07,33.07,33.07,33.07,90.72
20120313,OVWFM,Crocro,Kg,11.02,11.02,11.02,11.02,190.51
20120313,OVWFM,Catfish,Kg,4.41,8.82,6.62,6.62,108.86
20120313,OVWFM,Mixed Fish,Kg,4.41,4.41,4.41,4.41,1052.35
20120313,OVWFM,Red Fish,Kg,44.09,44.09,44.09,44.09,136.08
20120314,OVWFM,Salmon,Kg,35.27,35.27,35.27,35.27,217.73
20120314,OVWFM,Shark,Kg,19.84,19.84,19.84,19.84,290.3
20120314,OVWFM,Shrimp (M),Kg,26.46,37.48,26.46,29.66,775.66
20120314,OVWFM,Shrimp (L),Kg,55.12,74.96,60.63,62.68,108.88
20120314,OVWFM,Crocro,Kg,11.02,15.43,11.02,12.28,1215.63
20120314,OVWFM,Mixed Fish,Kg,4.41,5.51,4.96,4.96,1242.86
20120315,OVWFM,Carite,Kg,46.3,48.5,47.4,47.4,215.46
20120315,OVWFM,Salmon,Kg,33.07,33.07,33.07,33.07,272.16
20120315,OVWFM,Shark,Kg,19.84,19.84,19.84,19.84,136.08
20120315,OVWFM,Shrimp (M),Kg,26.46,26.46,26.46,26.46,136.08
20120315,OVWFM,Shrimp (L),Kg,26.46,77.16,55.12,52.36,217.74
20120315,OVWFM,Moonshine,Kg,22.05,22.05,22.05,22.05,136.08
20120315,OVWFM,Brochet,Kg,24.25,24.25,24.25,24.25,54.43
20120315,OVWFM,Blanche,Kg,4.41,4.41,4.41,4.41,136.08
20120315,OVWFM,Crocro,Kg,8.82,13.23,11.02,10.66,462.66
20120315,OVWFM,Mixed Fish,Kg,3.31,5.51,4.41,4.41,716.69
20120315,OVWFM,Red Fish,Kg,46.3,46.3,46.3,46.3,90.72
20120316,OVWFM,Carite,Kg,44.09,57.32,57.32,52.91,260.82
20120316,OVWFM,Shark,Kg,19.84,19.84,19.84,19.84,217.73
20120316,OVWFM,Shrimp (M),Kg,26.46,33.07,30.13,30.13,580.61
20120316,OVWFM,Shrimp (L),Kg,28.66,77.16,48.55,56.66,285.79
20120316,OVWFM,King Fish,Kg,57.32,57.32,57.32,57.32,136.08
